DEVTYPE_Academia,DEVTYPE_BackEnd,DEVTYPE_Blockchain,DEVTYPE_DataScienceAndAI,DEVTYPE_DevSupport,DEVTYPE_ExecutiveManagement,DEVTYPE_FrontEnd,DEVTYPE_FullStack,DEVTYPE_Management,DEVTYPE_Native,DEVTYPE_ResearchAndDevelopment,age,ai_sent,ai_threat,comp_usd,country,ed_level,home_gni,org_size,per_gni,remote_work,years_code_pre_pro
False,False,False,False,False,False,True,False,False,False,False,3,2,-1.0,200000.0,united states,5,83660.0,7,2.39,2,2.0
False,False,False,False,True,False,False,False,False,False,False,2,2,-1.0,130000.0,united states,5,83660.0,6,1.55,2,5.0
False,False,False,False,False,False,False,False,True,False,False,3,2,-1.0,51216.0,kazakhstan,5,12150.0,7,4.22,1,5.0
False,False,False,False,False,False,False,True,False,False,False,2,1,-1.0,65000.0,united states,5,83660.0,4,0.78,1,3.0
False,True,False,False,False,False,False,False,False,False,False,2,2,-1.0,192000.0,united states,5,83660.0,4,2.3,0,4.0
False,False,False,False,False,False,True,False,False,False,False,5,0,-1.0,16215.0,russian federation,6,15320.0,1,1.06,2,10.0
False,False,False,False,True,False,False,False,False,False,False,2,1,-1.0,9609.94,france,6,45180.0,0,0.21,2,4.0
False,False,False,False,False,False,False,True,False,False,False,2,1,-1.0,67637.5,germany,3,54960.0,5,1.23,2,2.0
False,False,False,False,False,False,True,False,False,False,False,1,2,-1.0,54110.0,germany,5,54960.0,4,0.98,1,6.0
False,False,False,False,False,False,True,False,False,False,False,3,2,0.0,31521.6,malaysia,5,11670.0,1,2.7,1,3.0
False,False,False,False,False,False,False,False,True,False,False,2,1,-1.0,116877.6,finland,5,51710.0,4,2.26,1,3.0
False,False,False,False,False,False,False,False,True,False,False,2,1,-1.0,87060.0,denmark,5,73790.0,2,1.18,1,5.0
False,False,False,False,False,False,False,True,False,False,False,2,1,-1.0,7200.0,zimbabwe,5,2260.0,1,3.19,2,4.0
False,True,False,False,False,False,False,False,False,False,False,2,1,-1.0,115000.0,united states,5,83660.0,4,1.37,2,5.0
False,False,False,False,False,False,True,False,False,False,False,2,2,-1.0,102809.0,greece,5,23030.0,1,4.46,2,3.0
False,True,False,False,False,False,False,False,False,False,False,1,1,0.0,70000.0,georgia,5,8200.0,2,8.54,2,1.0
False,False,False,True,False,False,False,False,False,False,False,2,1,-1.0,54110.0,france,6,45180.0,4,1.2,1,5.0
False,False,False,False,False,False,False,True,False,False,False,2,-1,-1.0,140000.0,united states,5,83660.0,3,1.67,1,4.0
False,False,False,False,False,False,True,False,False,False,False,2,2,1.0,102500.0,united states,5,83660.0,2,1.23,2,2.0
False,False,False,False,False,False,True,False,False,False,False,2,1,-1.0,108000.0,united states,5,83660.0,4,1.29,1,4.0
False,False,False,False,False,False,False,False,True,False,False,3,1,0.0,75920.0,canada,5,53340.0,4,1.42,1,5.0
False,True,False,False,False,False,False,False,False,False,False,3,0,-1.0,48212.6,russian federation,7,15320.0,4,3.15,2,1.0
False,False,False,False,False,False,False,False,True,False,False,2,1,-1.0,4653.46,slovakia,6,23900.0,1,0.19,1,4.0
False,False,False,False,False,False,True,False,False,False,False,5,1,-1.0,52777.6,argentina,1,13440.0,0,3.93,2,0.0
False,True,False,False,False,False,False,False,False,False,False,3,0,-1.0,51105.6,sweden,2,58820.0,0,0.87,1,5.0
False,False,False,False,False,False,True,False,False,False,False,2,0,-1.0,132000.0,united states,5,83660.0,4,1.58,1,4.0
False,True,False,False,False,False,False,False,False,False,False,3,1,-1.0,81165.0,germany,5,54960.0,4,1.48,2,11.0
False,True,False,False,False,False,False,False,False,False,False,4,1,0.0,113568.0,sweden,7,58820.0,3,1.93,1,5.0
False,False,False,False,False,False,True,False,False,False,False,3,1,-1.0,140000.0,united states,5,83660.0,4,1.67,2,3.0
False,False,False,False,False,False,False,False,True,False,False,2,0,-1.0,72507.4,malta,5,34660.0,3,2.09,1,5.0
False,False,False,False,False,False,True,False,False,False,False,1,0,-1.0,75000.0,united states,5,83660.0,1,0.9,0,0.0
False,False,False,False,False,False,True,False,False,False,False,1,-1,-1.0,12986.4,germany,1,54960.0,4,0.24,0,2.0
False,False,False,False,False,False,False,False,True,False,False,2,1,-1.0,200000.0,united states,6,83660.0,7,2.39,1,4.0
False,False,False,False,False,False,True,False,False,False,False,2,2,-1.0,200000.0,united states,6,83660.0,4,2.39,1,3.0
